p;n;connectedGraphs
0.590000;100;0
0.600000;100;0
0.610000;100;0
0.620000;100;0
0.630000;100;0
0.640000;100;0
0.650000;100;0
0.660000;100;0
0.670000;100;0
0.680000;100;0
0.690000;100;0
0.700000;100;0
0.710000;100;0
0.720000;100;0
0.730000;100;0
0.740000;100;0
0.750000;100;0
0.760000;100;0
0.770000;100;0
0.780000;100;0
0.790000;100;0
0.800000;100;0
0.810000;100;0
0.820000;100;0
0.830000;100;0
0.840000;100;0
0.850000;100;0
0.860000;100;0
0.870000;100;0
0.880000;100;0
0.890000;100;0
0.900000;100;0
0.910000;100;0
0.920000;100;0
0.930000;100;0
0.940000;100;0
0.950000;100;0
0.960000;100;0
0.970000;100;0
0.980000;100;0
0.990000;100;0
1.000000;100;0
